Date,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,team
2013-01-12,Premier League,Matchweek 22,Sat,Away,L,0,3,Sunderland,,,,4-2-3-1,west-ham
2013-01-19,Premier League,Matchweek 23,Sat,Home,D,1,1,QPR,,,,4-2-3-1,west-ham
2013-01-23,Premier League,Matchweek 19,Wed,Away,L,1,5,Arsenal,,,,4-2-3-1,west-ham
2013-01-30,Premier League,Matchweek 24,Wed,Away,L,1,3,Fulham,,,,4-3-3,west-ham
2013-02-02,Premier League,Matchweek 25,Sat,Home,W,1,0,Swansea City,,,,4-2-3-1,west-ham
2013-02-10,Premier League,Matchweek 26,Sun,Away,L,1,2,Aston Villa,,,,3-4-3,west-ham
2013-02-25,Premier League,Matchweek 27,Mon,Home,L,2,3,Tottenham,,,,4-3-3,west-ham
2013-03-02,Premier League,Matchweek 28,Sat,Away,W,1,0,Stoke City,,,,4-3-3,west-ham
2013-03-17,Premier League,Matchweek 30,Sun,Away,L,0,2,Chelsea,,,,4-5-1,west-ham
2013-03-30,Premier League,Matchweek 31,Sat,Home,W,3,1,West Brom,,,,4-2-3-1,west-ham
2013-04-07,Premier League,Matchweek 32,Sun,Away,D,0,0,Liverpool,,,,4-2-3-1,west-ham
2013-04-13,Premier League,Matchweek 33,Sat,Away,D,1,1,Southampton,,,,4-2-3-1,west-ham
2013-04-17,Premier League,Matchweek 29,Wed,Home,D,2,2,Manchester Utd,,,,4-2-3-1,west-ham
2013-04-20,Premier League,Matchweek 34,Sat,Home,W,2,0,Wigan Athletic,,,,4-2-3-1,west-ham
2013-04-27,Premier League,Matchweek 35,Sat,Away,L,1,2,Manchester City,,,,4-2-3-1,west-ham
2013-05-04,Premier League,Matchweek 36,Sat,Home,D,0,0,Newcastle Utd,,,,4-2-3-1,west-ham
2013-05-12,Premier League,Matchweek 37,Sun,Away,L,0,2,Everton,,,,4-2-3-1,west-ham
2013-05-19,Premier League,Matchweek 38,Sun,Home,W,4,2,Reading,,,,4-2-3-1,west-ham
2012-08-19,Premier League,Matchweek 1,Sun,Home,L,0,2,Chelsea,,,,5-4-1,wigan
2012-08-25,Premier League,Matchweek 2,Sat,Away,W,2,0,Southampton,,,,5-4-1,wigan
2012-09-01,Premier League,Matchweek 3,Sat,Home,D,2,2,Stoke City,,,,5-4-1,wigan
2012-09-15,Premier League,Matchweek 4,Sat,Away,L,0,4,Manchester Utd,,,,3-4-3,wigan
2012-09-22,Premier League,Matchweek 5,Sat,Home,L,1,2,Fulham,,,,3-4-3,wigan
2012-09-29,Premier League,Matchweek 6,Sat,Away,L,0,1,Sunderland,,,,3-4-3,wigan
2012-10-06,Premier League,Matchweek 7,Sat,Home,D,2,2,Everton,,,,3-4-3,wigan
2012-10-20,Premier League,Matchweek 8,Sat,Away,L,1,2,Swansea City,,,,3-4-3,wigan
2012-10-27,Premier League,Matchweek 9,Sat,Home,W,2,1,West Ham,,,,3-4-3,wigan
2012-11-03,Premier League,Matchweek 10,Sat,Away,W,1,0,Tottenham,,,,3-4-3,wigan
2012-11-10,Premier League,Matchweek 11,Sat,Home,L,1,2,West Brom,,,,3-4-3,wigan
2012-11-17,Premier League,Matchweek 12,Sat,Away,L,0,3,Liverpool,,,,3-4-3,wigan
2012-11-24,Premier League,Matchweek 13,Sat,Home,W,3,2,Reading,,,,3-4-3,wigan
2012-11-28,Premier League,Matchweek 14,Wed,Home,L,0,2,Manchester City,,,,3-4-3,wigan
2012-12-03,Premier League,Matchweek 15,Mon,Away,L,0,3,Newcastle Utd,,,,3-4-3,wigan
2012-12-08,Premier League,Matchweek 16,Sat,Home,D,2,2,QPR,,,,3-4-3,wigan
2012-12-15,Premier League,Matchweek 17,Sat,Away,L,1,2,Norwich City,,,,3-4-3,wigan
2012-12-22,Premier League,Matchweek 18,Sat,Home,L,0,1,Arsenal,,,,3-4-3,wigan
2012-12-26,Premier League,Matchweek 19,Wed,Away,L,1,2,Everton,,,,3-4-3,wigan
2012-12-29,Premier League,Matchweek 20,Sat,Away,W,3,0,Aston Villa,,,,3-4-3,wigan
2013-01-01,Premier League,Matchweek 21,Tue,Home,L,0,4,Manchester Utd,,,,3-4-3,wigan
2013-01-12,Premier League,Matchweek 22,Sat,Away,D,1,1,Fulham,,,,3-5-1-1,wigan
2013-01-19,Premier League,Matchweek 23,Sat,Home,L,2,3,Sunderland,,,,3-4-3,wigan
2013-01-29,Premier League,Matchweek 24,Tue,Away,D,2,2,Stoke City,,,,3-4-3,wigan
2013-02-02,Premier League,Matchweek 25,Sat,Home,D,2,2,Southampton,,,,3-4-3,wigan
2013-02-09,Premier League,Matchweek 26,Sat,Away,L,1,4,Chelsea,,,,3-4-3,wigan
2013-02-23,Premier League,Matchweek 27,Sat,Away,W,3,0,Reading,,,,3-4-3,wigan
2013-03-02,Premier League,Matchweek 28,Sat,Home,L,0,4,Liverpool,,,,3-4-3,wigan
2013-03-17,Premier League,Matchweek 30,Sun,Home,W,2,1,Newcastle Utd,,,,3-4-3,wigan
2013-03-30,Premier League,Matchweek 31,Sat,Home,W,1,0,Norwich City,,,,3-4-3,wigan
2013-04-07,Premier League,Matchweek 32,Sun,Away,D,1,1,QPR,,,,3-4-3,wigan
2013-04-17,Premier League,Matchweek 29,Wed,Away,L,0,1,Manchester City,,,,3-4-3,wigan
2013-04-20,Premier League,Matchweek 34,Sat,Away,L,0,2,West Ham,,,,3-4-3,wigan
2013-04-27,Premier League,Matchweek 35,Sat,Home,D,2,2,Tottenham,,,,4-3-3,wigan
2013-05-04,Premier League,Matchweek 36,Sat,Away,W,3,2,West Brom,,,,4-3-3,wigan
2013-05-07,Premier League,Matchweek 33,Tue,Home,L,2,3,Swansea City,,,,4-3-3,wigan
2013-05-14,Premier League,Matchweek 37,Tue,Away,L,1,4,Arsenal,,,,3-4-3,wigan
2013-05-19,Premier League,Matchweek 38,Sun,Home,D,2,2,Aston Villa,,,,4-1-4-1,wigan
